step,material,param,U234,U235,U236,U237,U238,U239,Np236,Np237,Np238,Np239,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243,Am244,Am242m,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cm248,Cm249,Bk249,Bk250,Cf249,Cf250,Cf251,Kr83,Rh103,Rh105,Ag109,I135,Xe131,Xe135,Cs133,Cs134,Cs135,Cs137,Ba140,La140,Nd143,Nd145,Pm147,Pm148,Pm149,Pm148m,Sm147,Sm149,Sm150,Sm151,Sm152,Eu153,Eu154,Eu155,Eu156,Gd152,Gd154,Gd155,Gd156,Gd157,Gd160,lost,total
2,TOT,A,9.62278e+07,4.29577e+06,328578,1.90406e+12,1.43818e+07,3.33538e+14,0.0414921,27878.2,9.45822e+09,3.33137e+14,0.121549,1.79971e+06,5.62653e+08,1.71087e+07,1.61089e+08,16.0678,1.16081e+06,4213.82,946436,1.42319,177.389,6.14413,15298.1,0.0414318,1.3217,2.02057e-06,2.10125e-09,6.3564e-17,1.41033e-18,1.80717e-14,8.23745e-17,0,0,0,0,0,0,8.36097e+12,0,4.63634e+13,0,2.35196e+13,0,9.37215e+08,479042,7.26294e+10,3.39641e+13,3.22818e+13,0,0,1.50308e+11,4.35369e+10,8.12751e+12,7.58072e+09,0.0255049,0,0,1.49145e+09,0,0,4.26952e+07,2.59047e+09,1.17416e+11,9.83212e-12,0,0,0,0,0,0,4.59959e+15
2,TOT,ADENS,7.87896e-06,0.00100862,2.5665e-06,1.17357e-08,0.0214309,4.95966e-09,2.1311e-15,1.99345e-08,1.82834e-11,7.16679e-07,1.15859e-19,5.26404e-11,4.52433e-06,3.74371e-08,7.6774e-10,2.00956e-12,2.18881e-16,6.07965e-13,5.76858e-16,3.4982e-15,6.81652e-20,2.88932e-16,2.27414e-15,4.02109e-19,7.9786e-18,5.72806e-21,3.33581e-24,3.30714e-28,1.63687e-31,7.35121e-37,2.48218e-35,0,0,0,0,6.30498e-08,7.2687e-08,1.12482e-08,6.82935e-09,1.15893e-08,2.01349e-07,8.17884e-09,5.23251e-07,6.45532e-10,3.67466e-07,7.28387e-07,3.9548e-07,4.94653e-08,2.6622e-07,4.54934e-07,1.31512e-07,2.13401e-10,1.64136e-08,2.85813e-10,9.01663e-10,6.24843e-08,5.14817e-08,4.47681e-08,3.66286e-08,1.82735e-08,1.2236e-10,4.10641e-09,1.62859e-09,3.5415e-16,2.09167e-13,1.81277e-11,1.00668e-09,4.33378e-10,7.92094e-11,6.97341e-13,0.0674138
2,TOT,BURNUP,0.500038
2,TOT,GSRC,9.61351e+06,5.21995e+06,29707.6,3.10197e+12,1.04567e+06,2.28095e+14,0,21722.1,8.71405e+09,5.37765e+14,0.0136417,186354,2.46903e+07,1.66685e+06,4010.45,1.34139,404851,2651.72,0,1.32501,387.659,0,1532.56,0.0511662,0.109295,2.61757e-06,0,5.33505e-17,0,7.3858e-16,2.8465e-23,0,0,0,0,0,0,2.07932e+12,0,6.17873e+13,0,2.34088e+13,0,2.09675e+09,0,421250,2.4076e+13,6.98633e+13,0,0,8.01755e+06,2.55905e+10,0,2.54599e+10,0,0,0,2.17167e+06,0,0,8.46126e+07,2.20599e+09,1.45051e+11,0,0,0,0,0,0,0,3.97304e+15
2,TOT,H,7.48325e-05,3.17469e-06,2.4036e-07,0.100095,9.85116e-06,24.4935,3.92854e-15,2.17507e-08,0.00125908,22.0751,1.14175e-13,1.61144e-06,0.000472485,1.43937e-05,1.38211e-07,1.28255e-11,3.62216e-08,3.77804e-09,6.86898e-08,1.23846e-12,3.15109e-11,7.25976e-14,1.52308e-08,4.09416e-14,1.24915e-12,1.82615e-18,1.85593e-21,5.45125e-29,4.47468e-30,8.57506e-28,4.28655e-31,0,0,0,0,0,0,0.309108,0,14.4356,0,2.12033,0,0.000258044,5.8254e-09,0.00209282,2.6773,14.6245,0,0,0.00149223,0.00908873,0.929469,0.00262301,9.44129e-15,0,0,4.73065e-06,0,0,1.03878e-05,5.15767e-05,0.0317411,3.47032e-24,0,0,0,0,0,0,1517.57
2,TOT,ING_TOX,4.71516,0.201901,0.0154431,1447.09,0.64718,9005.52,7.05366e-10,0.00306661,8.60698,266510,1.05748e-08,0.413934,140.663,4.27718,0.773226,3.85627e-06,9.86688e-05,0.000842764,0.000283931,2.84638e-07,8.15989e-08,1.16738e-06,0.000183577,6.21477e-09,1.58604e-07,4.24319e-13,4.41263e-16,1.20772e-23,1.08596e-24,5.60222e-25,7.99032e-26,0,0,0,0,0,0,3093.56,0,43117.9,0,0,0,17.8071,0.000958084,944.182,88306.7,64563.5,0,0,39.0802,117.55,8046.24,12.8872,1.24974e-09,0,0,0.146162,0,0,0.0853905,0.828949,258.316,4.03117e-19,0,0,0,0,0,0,1.79893e+06
2,TOT,INH_TOX,904.542,36.514,2.85862,3617.71,115.054,8004.91,3.31937e-07,1.39391,33.1038,333137,4.86196e-06,197.968,67518.4,2053.04,370.504,0.00176746,9.98297e-05,0.404527,0.0189287,0.000136626,6.56339e-07,0.00056526,0.0902587,2.8588e-06,7.53367e-05,2.00036e-10,2.05923e-13,5.72076e-21,5.07719e-22,7.22867e-25,1.31799e-23,0,0,0,0,0,0,2926.34,0,14836.3,0,0,0,18.7443,0.00411976,2832.55,196992,35509.9,0,0,751.541,95.7812,5933.08,43.2101,2.44847e-07,0,0,5.96581,0,0,2.26285,17.8742,399.216,1.8681e-16,0,0,0,0,0,0,1.77998e+06
2,TOT,MASS,0.418002,53.7398,0.137327,0.000630618,1156.46,0.000268761,1.1403e-10,0.00107118,9.86608e-07,0.0388362,6.19932e-15,2.84056e-06,0.245169,0.00203718,4.19505e-05,1.10265e-07,1.20599e-11,3.32213e-08,3.16526e-11,1.92743e-10,3.77126e-15,1.58539e-11,1.24783e-10,2.21553e-14,4.41414e-13,3.18206e-16,1.86068e-19,1.85221e-23,9.20473e-27,4.15058e-32,1.40146e-30,0,0,0,0,0.00118503,0.00169555,0.000267474,0.000168595,0.000354417,0.00597483,0.000250118,0.0157642,1.95948e-05,0.0112374,0.0226051,0.0125427,0.0015688,0.00862423,0.0149442,0.00437974,7.15536e-06,0.000554076,9.58361e-06,3.00282e-05,0.00210928,0.00174953,0.00153155,0.0012614,0.000633444,4.26934e-06,0.000144208,5.75636e-05,1.21961e-11,7.29812e-09,6.36614e-07,3.55809e-05,1.54161e-05,2.87155e-06,0,1374.59
2,TOT,SF,0.00163587,0.000309295,0.00029572,0,785.246,0,0,0,0,0,9.96701e-11,0.00334746,0.00174422,0.975196,0,8.83728e-05,0,1.81194e-08,0,5.26579e-11,0,0,0.000933183,0,1.82394e-06,0,5.49267e-13,0,1.18327e-19,0,3.86336e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786.229
2,TOT,VOLUME,136.509
